pitcher,Stuff_plus,Location_plus,Pitching_plus
593833,1175.6387,81.30444,482.3781
656945,160.90175,102.531334,411.1874
690829,153.59001,102.75917,343.87204
605280,146.96428,104.42806,309.42792
643511,153.09323,103.392685,280.706
662253,144.84662,101.233376,260.816
621550,132.6052,101.77743,252.7526
679885,123.68467,106.806046,243.74124
664849,133.07002,103.28474,240.70097
613534,134.39865,100.02187,239.99944
668970,143.14743,101.01138,239.66342
641658,139.27303,107.05074,236.58578
448179,172.78383,102.71113,229.49922
669912,128.90239,101.87545,226.97276
656186,138.13455,97.89333,223.29869
680880,124.30517,106.03095,221.91096
657044,122.06975,102.425476,218.07373
664123,136.111,97.84647,215.30276
664139,106.65196,100.97014,209.29924
695243,131.71884,100.12728,208.88928
657514,130.96793,100.18386,208.43167
686539,125.67061,104.28137,205.07953
605463,122.31694,102.24651,204.91554
621345,124.69857,100.61471,203.13925
663546,127.95696,100.343056,202.68353
676092,120.34271,98.20004,202.43219
595014,130.13882,100.948616,200.10089
640448,124.96019,107.201614,198.71147
656629,128.0054,98.52177,197.25143
664076,129.563,99.60388,196.50946
647336,124.82589,100.88431,195.80934
642397,126.229065,101.14452,192.79771
656266,126.31089,99.509155,182.89125
665625,119.187256,104.34054,178.70828
670970,121.7876,100.24807,178.35918
622268,96.187775,107.91838,177.185
623352,111.79718,101.79906,175.95728
554340,130.80092,98.171364,175.68279
670280,111.814285,105.35494,173.07259
594580,114.98892,101.57008,171.87546
672582,116.7638,100.0137,171.58849
668874,111.04053,100.24803,169.85867
664776,116.33561,102.609535,168.50127
642239,123.463524,96.06665,163.93227
656240,113.23091,105.604805,163.01976
683021,101.45246,101.88246,162.67578
663574,110.170746,99.38634,162.36893
677161,111.15301,98.37885,161.9418
656457,119.18373,101.62262,161.79958
669211,116.736015,101.275764,161.34082
656557,114.237755,104.43805,160.71559
572955,118.692535,100.08357,159.96944
640451,114.13413,100.537544,159.51443
621237,115.119545,100.22219,159.42169
671345,114.687416,103.67306,157.6564
666197,109.48067,95.67249,156.76227
701643,116.87645,101.74081,154.81204
673380,115.33184,103.25461,154.24791
681217,112.93765,102.04569,154.2216
668968,117.76835,101.18869,153.76756
670950,118.19824,96.910934,153.22192
685801,118.534294,98.99767,153.07957
678606,119.10198,99.29939,152.31474
518617,100.83562,102.21972,152.03557
650911,118.961395,100.4655,151.36021
694462,111.58693,107.17871,149.95804
657649,110.70346,100.266365,149.85664
656657,118.36233,98.71291,149.7793
667755,112.41083,102.17845,149.02411
657571,114.837814,99.59735,147.23245
663485,114.83185,99.0641,146.4707
663158,109.381744,100.44379,146.43097
543766,104.20232,100.24674,145.8947
673513,112.9822,101.54461,145.2396
624647,114.4743,99.460846,145.2074
622491,114.33123,100.510216,145.149
686751,111.496,105.028885,145.04259
642629,110.8282,104.425385,144.68015
677865,116.647125,97.668205,144.59755
643377,116.11974,99.06141,144.52771
676680,114.788025,100.44441,144.0367
543339,115.927025,99.16252,143.67703
642207,105.40971,98.22637,143.27635
643410,112.80545,102.79162,143.16498
681857,111.61441,100.36992,142.74814
694037,112.23328,100.146255,141.79091
678821,113.59045,101.251854,141.58148
656546,113.55105,103.19023,141.41731
660600,113.06578,101.16439,141.09093
656234,110.321526,100.35264,140.40068
670219,115.277916,95.923874,140.08516
663542,112.05109,100.162605,139.83879
666277,109.71264,101.65916,139.42644
670955,114.20894,96.64308,139.28363
605447,104.33417,102.43344,139.21797
668674,104.26204,104.02876,139.18095
